Stkcd,Reptdt,S0301a,S0302a,S0303a,S0304a,S0305a,S0306a
1,2018/12/31,中国平安保险(集团)股份有限公司-集团本级-自有资金,8510493066,3,49.56,流通A股,1
1,2018/12/31,中国平安人寿保险股份有限公司-自有资金,1049462784,3,6.11,流通A股,2
1,2018/12/31,香港中央结算有限公司,430751502,3,2.51,流通A股,3
1,2018/12/31,中国证券金融股份有限公司,429232688,3,2.5,流通A股,4
1,2018/12/31,中国平安人寿保险股份有限公司-传统-普通保险产品,389735963,3,2.27,流通A股,5
1,2018/12/31,中央汇金资产管理有限责任公司,216213000,3,1.26,流通A股,6
1,2018/12/31,深圳中电投资股份有限公司,142402769,3,0.83,流通A股,7
1,2018/12/31,河南鸿宝集团有限公司,99441107,3,0.58,流通A股,8
1,2018/12/31,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,49603502,3,0.29,流通A股,9
1,2018/12/31,交通银行-易方达50指数证券投资基金,44143803,3,0.26,流通A股,10
2,2018/12/31,深圳市地铁集团有限公司,3242810791,3,29.38,流通A股,1
2,2018/12/31,深圳市钜盛华股份有限公司,926070472,1,8.39,流通A股,3
2,2018/12/31,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,456993190,3,4.14,流通A股,5
2,2018/12/31,招商财富-招商银行-德赢1号专项资产管理计划,329352920,3,2.98,流通A股,7
2,2018/12/31,中央汇金资产管理有限责任公司,189566000,3,1.72,流通A股,9
2,2018/12/31,HKSCC NOMINEES LIMITED,1314911984,3,11.91,流通H股,2
2,2018/12/31,安邦人寿保险股份有限公司-保守型投资组合,699623983,3,6.34,流通A股,4
2,2018/12/31,前海人寿保险股份有限公司-海利年年,343829742,3,3.11,流通A股,6
2,2018/12/31,香港中央结算有限公司,228786132,3,2.07,流通A股,8
2,2018/12/31,前海人寿保险股份有限公司-聚富产品,183788200,3,1.66,流通A股,10
4,2018/12/31,深圳中农大科技投资有限公司,23876848,1,28.43,流通A股,1
4,2018/12/31,中科汇通(深圳)股权投资基金有限公司,5397600,1,6.43,流通A股,2
4,2018/12/31,国华人寿保险股份有限公司-万能三号,4208900,3,5.01,流通A股,3
4,2018/12/31,石雯,3943600,3,4.7,流通A股,4
4,2018/12/31,傅建群,3524966,3,4.2,流通A股,5
4,2018/12/31,中科招商投资管理集团股份有限公司,3000000,3,3.57,流通A股,6
4,2018/12/31,邵国勇,2557164,3,3.05,流通A股,7
4,2018/12/31,周建新,2084113,3,2.48,流通A股,8
4,2018/12/31,中银国际证券-中国银行-中银证券中国红-汇中1号集合资产管理计划,1772367,3,2.11,流通A股,9
4,2018/12/31,汪国新,1506107,3,1.79,流通A股,10
5,2018/12/31,中国投资有限公司,184240445,1,17.41,流通A股,1
5,2018/12/31,深圳市博睿意碳源科技有限公司,47945310,1,4.53,流通A股,2
5,2018/12/31,陈栩,21059496,3,1.99,流通A股,3
5,2018/12/31,许培雅,19820712,1,1.87,流通A股,4
5,2018/12/31,上海勤幸投资管理中心(有限合伙),10695187,3,1.01,流通A股,5
5,2018/12/31,杭州环博投资有限公司,7574795,3,0.72,流通A股,6
5,2018/12/31,陈振新,6575342,1,0.62,流通A股,7
5,2018/12/31,禹宙,5358700,3,0.51,流通A股,8
5,2018/12/31,浙江赛盛投资合伙企业(有限合伙),5260274,3,0.5,流通A股,9
5,2018/12/31,陈子云,4937200,3,0.47,流通A股,10
6,2018/12/31,深圳市人民政府国有资产监督管理委员会,296031373,3,21.93,流通A股,1
6,2018/12/31,深圳市远致投资有限公司,188817775,3,13.99,流通A股,2
6,2018/12/31,中央汇金资产管理有限责任公司,47368200,3,3.51,流通A股,3
6,2018/12/31,中国证券金融股份有限公司,14598400,3,1.08,流通A股,4
6,2018/12/31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,10307454,3,0.76,流通A股,5
6,2018/12/31,廖晔,6989500,3,0.52,流通A股,6
6,2018/12/31,张德锋,6904100,3,0.51,流通A股,7
6,2018/12/31,聂智,4900000,3,0.36,流通A股,8
6,2018/12/31,曾运龙,4704200,3,0.35,流通A股,9
6,2018/12/31,刘瑶,4689559,3,0.35,流通A股,10
7,2018/12/31,汉富控股有限公司,75000127,1,21.65,流通A股,1
7,2018/12/31,深圳市博恒投资有限公司,37500000,3,10.82,境内法人持有股份,2
7,2018/12/31,陈卓婷,13493872,3,3.89,流通A股,3
7,2018/12/31,北京朴和恒丰投资有限公司,8170011,3,2.36,流通A股,4
7,2018/12/31,北京电子城有限责任公司,3615000,3,1.04,流通A股,5
7,2018/12/31,阳德惠,2436100,3,0.7,流通A股,6
7,2018/12/31,广州博融投资有限公司,2346504,3,0.68,流通A股,7
7,2018/12/31,欣平,2110401,3,0.61,流通A股,8
7,2018/12/31,王晓峰,2097232,3,0.61,流通A股,9
7,2018/12/31,王坚宏,2002200,3,0.58,流通A股,10
8,2018/12/31,中国国投高新产业投资有限公司,563666000,3,20,流通A股,1
8,2018/12/31,北京市海淀区国有资产投资经营有限公司,350000000,3,12.42,流通A股,2
8,2018/12/31,王志全,203690850,1,7.23,"境内自然人持有股份,流通A股",3
8,2018/12/31,杭州霁云投资管理合伙企业(有限合伙),120783548,1,4.29,流通A股,4
8,2018/12/31,西藏德创信息咨询有限公司,101563679,3,3.6,流通A股,5
8,2018/12/31,鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,35303153,3,1.25,流通A股,6
8,2018/12/31,王新宇,32840000,1,1.17,流通A股,7
8,2018/12/31,鹏华资产-浦发银行-鹏华资产金润28号资产管理计划,32199040,3,1.14,流通A股,8
8,2018/12/31,青岛城投金融控股集团有限公司,30588235,3,1.09,流通A股,9
8,2018/12/31,冯骏驹,28522126,3,1.01,流通A股,10
9,2018/12/31,深圳市富安控股有限公司,256013898,1,11.91,流通A股,1
9,2018/12/31,深圳市宝安区投资管理有限公司,119787377,3,5.57,流通A股,2
9,2018/12/31,李松强,103107271,3,4.8,流通A股,3
